timestamp,base_station_id,cell_id,rssi_dbm,sinr_db,throughput_mbps,latency_ms,jitter_ms,packet_loss_percent,cpu_usage_percent,memory_usage_percent,active_users,temperature_celsius,fault_status,hour,day_of_week,is_peak_hour,network_quality_score,resource_stress
2025-01-01 00:00:00,BS_002,CELL_0190,-59.35,30.03,128.89,13.98,1.62,0.16,33.75,40.04,427,27.56,Normal,0,2,0,0.9063733333333333,36.894999999999996
2025-01-01 00:01:00,BS_035,CELL_0023,-65.28,16.74,102.87,12.87,2.73,0.29,49.52,31.43,97,30.47,Normal,0,2,0,0.76132,40.475
2025-01-01 00:02:00,BS_002,CELL_0144,-65.25,20.61,106.17,16.78,1.8,0.51,29.94,59.24,329,35.49,Normal,0,2,0,0.78338,44.59
2025-01-01 00:03:00,BS_018,CELL_0002,-67.95,28.63,156.86,17.13,2.22,0.1,57.94,37.18,266,33.51,Normal,0,2,0,0.8937533333333334,47.56
2025-01-01 00:04:00,BS_049,CELL_0087,-116.36,-0.05,11.03,257.07,27.76,21.66,39.84,42.39,735,66.45,Faulty,0,2,0,0.0,41.115
2025-01-01 00:05:00,BS_025,CELL_0021,-62.29,22.97,117.69,7.77,4.88,0.78,47.6,67.32,366,47.14,Normal,0,2,0,0.8437933333333334,57.459999999999994
2025-01-01 00:06:00,BS_013,CELL_0181,-62.83,19.39,136.09,10.35,2.12,0.54,23.48,59.76,445,32.23,Normal,0,2,0,0.83762,41.62
2025-01-01 00:07:00,BS_015,CELL_0026,-108.51,4.87,33.17,103.85,20.17,17.23,54.01,85.88,583,59.81,Faulty,0,2,0,0.20049333333333336,69.945
2025-01-01 00:08:00,BS_018,CELL_0180,-95.86,2.29,33.14,88.89,30.75,6.74,68.6,73.5,587,66.37,Faulty,0,2,0,0.28475333333333336,71.05
2025-01-01 00:09:00,BS_030,CELL_0098,-92.74,1.23,19.93,87.63,29.33,9.88,89.4,77.85,612,72.38,Faulty,0,2,0,0.2687933333333334,83.625
2025-01-01 00:10:00,BS_050,CELL_0015,-54.69,26.1,141.93,12.08,1.48,0.71,31.45,31.44,211,35.03,Normal,0,2,0,0.9189,31.445
2025-01-01 00:11:00,BS_037,CELL_0184,-99.55,-0.72,10.76,92.95,20.94,14.55,69.16,61.76,968,70.71,Faulty,0,2,0,0.1963466666666667,65.46
2025-01-01 00:12:00,BS_009,CELL_0064,-103.71,0.09,37.23,109.92,32.31,16.33,60.42,81.09,719,80.91,Faulty,0,2,0,0.18290000000000003,70.755
2025-01-01 00:13:00,BS_015,CELL_0036,-62.29,17.07,101.93,7.42,4.72,0.81,45.48,34.09,74,46.53,Normal,0,2,0,0.7840866666666667,39.785
2025-01-01 00:14:00,BS_011,CELL_0175,-93.93,-3.13,36.78,144.72,44.22,18.44,24.76,60.99,739,66.16,Faulty,0,2,0,0.12613333333333332,42.875
2025-01-01 00:15:00,BS_001,CELL_0175,-63.63,16.42,88.88,11.41,4.27,0.86,56.04,60.68,324,43.77,Normal,0,2,0,0.7489133333333333,58.36
